"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","146,98","146,76","147,00","145,58","594,81K","0,11%"
"30.12.2019","146,82","147,21","147,25","146,06","446,42K","-0,54%"
"27.12.2019","147,62","146,65","147,83","146,53","420,75K","0,91%"
"26.12.2019","146,29","145,91","146,83","145,61","400,84K","0,14%"
"24.12.2019","146,09","146,26","146,71","145,84","250,83K","-0,15%"
"23.12.2019","146,31","147,86","147,93","146,19","481,81K","-0,77%"
"20.12.2019","147,44","147,30","147,57","146,03","1,27M","0,52%"
"19.12.2019","146,67","146,55","147,97","145,93","925,09K","0,58%"
"18.12.2019","145,82","145,29","146,71","144,75","984,03K","0,77%"
"17.12.2019","144,71","147,12","147,74","144,54","1,49M","-1,41%"
"16.12.2019","146,78","147,37","148,14","146,50","917,33K","-0,25%"
"13.12.2019","147,15","145,88","147,58","144,72","586,28K","0,22%"
"12.12.2019","146,82","149,11","149,35","146,60","713,49K","-1,97%"
"11.12.2019","149,77","149,15","150,39","148,81","614,96K","0,25%"
"10.12.2019","149,40","149,62","150,09","149,04","539,70K","-0,09%"
"09.12.2019","149,54","149,84","150,20","148,84","952,48K","0,19%"
"06.12.2019","149,25","150,18","150,65","149,23","600,21K","-0,48%"
"05.12.2019","149,97","150,13","150,75","149,21","570,29K","-0,13%"
"04.12.2019","150,16","148,54","150,18","148,27","802,25K","0,91%"
"03.12.2019","148,80","149,12","150,38","147,72","832,50K","-0,11%"
"02.12.2019","148,96","147,67","149,09","146,78","677,29K","0,54%"
"29.11.2019","148,16","148,81","149,31","147,50","423,39K","-0,27%"
"27.11.2019","148,56","149,54","149,62","148,34","823,59K","-0,69%"
"26.11.2019","149,59","146,56","149,68","146,05","1,90M","2,40%"
"25.11.2019","146,08","147,00","147,45","145,80","1,30M","-0,52%"
"22.11.2019","146,84","146,78","147,24","146,00","589,02K","0,20%"
"21.11.2019","146,55","148,25","148,64","146,24","719,60K","-1,72%"
"20.11.2019","149,12","148,57","149,92","148,07","1,16M","1,06%"
"19.11.2019","147,56","146,95","147,87","146,13","754,43K","0,59%"
"18.11.2019","146,69","145,40","147,50","145,00","740,80K","0,64%"
"15.11.2019","145,75","146,05","146,09","144,12","877,66K","-0,38%"
"14.11.2019","146,31","146,19","147,23","145,65","844,81K","0,36%"
"13.11.2019","145,78","143,87","146,16","143,44","1,41M","2,05%"
"12.11.2019","142,85","141,91","143,25","141,14","710,67K","0,79%"
"11.11.2019","141,73","141,15","141,75","140,10","512,21K","0,54%"
"08.11.2019","140,97","141,91","142,41","140,27","468,83K","-0,25%"
"07.11.2019","141,32","140,79","141,45","139,66","808,92K","0,36%"
