"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","85.500,0","84.500,0","86.000,0","84.500,0","0,19K","0,59%"
"27.12.2019","85.000,0","85.100,0","85.600,0","84.400,0","0,10K","-0,93%"
"23.12.2019","85.800,0","84.500,0","85.900,0","84.500,0","0,12K","0,59%"
"20.12.2019","85.300,0","84.000,0","85.400,0","83.600,0","0,40K","2,03%"
"19.12.2019","83.600,0","83.400,0","83.800,0","83.300,0","0,22K","0,12%"
"18.12.2019","83.500,0","83.800,0","84.100,0","83.300,0","0,23K","-0,48%"
"17.12.2019","83.900,0","84.000,0","84.000,0","83.500,0","0,28K","-0,24%"
"16.12.2019","84.100,0","84.100,0","84.500,0","83.800,0","0,12K","0,36%"
"13.12.2019","83.800,0","83.500,0","84.300,0","83.200,0","0,13K","0,36%"
"12.12.2019","83.500,0","83.900,0","84.100,0","83.400,0","0,11K","-0,36%"
"11.12.2019","83.800,0","83.600,0","83.900,0","83.000,0","0,15K","-0,12%"
"10.12.2019","83.900,0","84.300,0","84.300,0","83.400,0","0,12K","-0,36%"
"09.12.2019","84.200,0","84.000,0","84.400,0","83.300,0","0,10K","0,48%"
"06.12.2019","83.800,0","84.000,0","84.300,0","83.700,0","0,08K","-0,24%"
"05.12.2019","84.000,0","83.400,0","84.000,0","83.100,0","0,15K","0,60%"
"04.12.2019","83.500,0","83.500,0","83.700,0","83.000,0","0,15K","0,00%"
"03.12.2019","83.500,0","84.000,0","84.500,0","83.000,0","0,16K","-1,30%"
"02.12.2019","84.600,0","84.700,0","85.200,0","84.000,0","0,20K","-0,82%"
"29.11.2019","85.300,0","84.900,0","85.400,0","84.500,0","0,11K","0,35%"
"28.11.2019","85.000,0","83.900,0","85.000,0","83.900,0","0,09K","0,71%"
"27.11.2019","84.400,0","83.900,0","84.400,0","83.800,0","0,17K","0,60%"
"26.11.2019","83.900,0","83.200,0","83.900,0","82.800,0","0,26K","0,84%"
"25.11.2019","83.200,0","82.900,0","83.200,0","82.600,0","0,08K","0,24%"
"22.11.2019","83.000,0","82.400,0","83.000,0","82.000,0","0,09K","0,73%"
"21.11.2019","82.400,0","82.500,0","82.500,0","82.100,0","0,08K","0,12%"
"20.11.2019","82.300,0","82.600,0","82.900,0","82.200,0","0,13K","-0,60%"
"19.11.2019","82.800,0","82.500,0","83.000,0","82.500,0","0,12K","-0,12%"
"18.11.2019","82.900,0","82.300,0","82.900,0","82.300,0","0,09K","0,36%"
"15.11.2019","82.600,0","82.100,0","82.800,0","82.100,0","0,06K","-0,12%"
"14.11.2019","82.700,0","83.000,0","83.000,0","82.300,0","0,10K","0,24%"
"13.11.2019","82.500,0","82.100,0","82.800,0","81.900,0","0,14K","0,00%"
"12.11.2019","82.500,0","82.400,0","82.600,0","82.100,0","0,12K","-0,48%"
"11.11.2019","82.900,0","83.000,0","83.000,0","82.300,0","0,11K","0,00%"
"08.11.2019","82.900,0","82.500,0","82.900,0","82.300,0","0,10K","0,48%"
"07.11.2019","82.500,0","82.100,0","82.600,0","82.100,0","0,13K","-0,36%"
"06.11.2019","82.800,0","82.000,0","82.800,0","81.400,0","0,19K","0,98%"
"05.11.2019","82.000,0","82.000,0","82.000,0","81.600,0","0,16K","-0,36%"
"04.11.2019","82.300,0","81.700,0","82.800,0","81.700,0","0,17K","1,73%"
