"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","104,94","106,45","106,45","104,86","19,72K","-1,37%"
"27.12.2019","106,40","106,75","106,83","106,25","431,29K","-0,20%"
"23.12.2019","106,61","105,97","106,77","105,95","776,27K","0,48%"
"20.12.2019","106,10","104,53","106,10","104,53","1,03M","2,05%"
"19.12.2019","103,97","104,02","104,30","103,50","1,31M","-0,32%"
"18.12.2019","104,30","103,48","105,12","103,48","543,34K","0,71%"
"17.12.2019","103,56","103,15","104,20","102,60","747,39K","-0,85%"
"16.12.2019","104,45","102,80","104,58","102,80","661,15K","1,52%"
"13.12.2019","102,89","102,52","103,22","102,52","465,22K","-0,18%"
"12.12.2019","103,08","103,15","103,66","102,75","569,36K","-0,06%"
"11.12.2019","103,14","102,54","103,32","102,50","147,51K","0,31%"
"10.12.2019","102,82","103,45","103,45","101,94","123,43K","-1,02%"
"09.12.2019","103,88","103,48","104,20","103,48","281,70K","-0,07%"
"06.12.2019","103,95","102,82","103,95","102,73","38,08K","1,60%"
"05.12.2019","102,31","102,40","102,76","102,31","216,78K","0,06%"
"04.12.2019","102,25","101,54","102,80","101,50","214,22K","0,49%"
"03.12.2019","101,75","102,56","103,10","101,69","307,71K","-0,77%"
"02.12.2019","102,54","103,75","104,44","102,46","264,53K","-1,33%"
"29.11.2019","103,92","104,05","104,36","103,84","457,18K","-0,52%"
"28.11.2019","104,46","104,38","104,50","104,30","17,68K","0,21%"
"27.11.2019","104,24","104,40","104,48","103,86","125,39K","0,23%"
"26.11.2019","104,00","104,35","104,80","104,00","518,01K","0,19%"
"25.11.2019","103,80","103,78","104,22","103,64","589,43K","0,29%"
"22.11.2019","103,50","103,45","103,94","102,74","1,54M","0,15%"
"21.11.2019","103,34","104,04","104,04","103,34","398,46K","-0,92%"
"20.11.2019","104,30","103,78","104,45","103,78","585,89K","0,33%"
"19.11.2019","103,96","104,02","104,62","103,74","333,12K","-0,35%"
"18.11.2019","104,32","104,36","104,48","103,88","60,73K","0,07%"
"15.11.2019","104,25","103,92","104,31","103,80","25,87K","0,45%"
"14.11.2019","103,78","104,56","105,14","103,58","495,01K","-0,97%"
"13.11.2019","104,80","103,79","104,94","103,64","1,01M","0,72%"
"12.11.2019","104,05","103,96","104,48","103,78","156,34K","-0,22%"
"11.11.2019","104,28","104,52","104,76","103,86","34,88K","0,17%"
"08.11.2019","104,10","103,80","104,42","103,80","1,01M","-0,06%"
"07.11.2019","104,16","104,98","104,98","103,80","58,97K","-0,65%"
"06.11.2019","104,84","103,39","105,30","103,39","810,71K","1,02%"
"05.11.2019","103,78","104,04","104,13","103,50","464,33K","-1,00%"
"04.11.2019","104,83","104,20","105,04","104,20","255,67K","-0,22%"
"01.11.2019","105,06","105,46","106,05","104,78","112,09K","-0,25%"
"31.10.2019","105,32","106,35","107,14","105,32","67,06K","-0,64%"
"30.10.2019","106,00","104,96","106,19","104,96","201,93K","1,24%"
"29.10.2019","104,70","104,30","104,70","103,72","129,58K","0,06%"
"28.10.2019","104,64","104,95","105,08","104,16","129,12K","0,16%"
"25.10.2019","104,47","103,76","104,61","103,76","106,33K","0,33%"
"24.10.2019","104,13","103,06","104,20","103,06","69,04K","1,68%"
"23.10.2019","102,41","102,60","102,98","102,28","25,91K","-0,09%"
"22.10.2019","102,50","102,00","102,54","101,34","132,23K","0,21%"
"21.10.2019","102,29","103,05","103,16","101,84","253,81K","-0,96%"
"18.10.2019","103,28","103,08","103,88","102,88","413,31K","-1,64%"
"17.10.2019","105,00","105,92","106,62","103,56","121,84K","-0,87%"
"16.10.2019","105,92","105,76","107,03","105,75","75,80K","-0,30%"
"15.10.2019","106,24","106,30","106,35","105,88","48,15K","0,17%"
"14.10.2019","106,06","106,58","106,80","105,94","134,07K","-0,67%"
"11.10.2019","106,78","107,58","107,58","106,32","132,59K","-0,76%"
"10.10.2019","107,60","107,55","107,60","106,48","237,45K","0,09%"
"09.10.2019","107,50","106,85","107,77","106,42","184,13K","0,09%"
